REPORTE VENTA
NO.Factura,Fecha,id Mueble,Nombre Mueble,Precio venta, NIT cliente
1234-A,2021-08-26,1515,Mesa rustica,200.0, 575964k
1234-A,2021-08-26,5517,Mesa Redonda,150.0, 575964k
1234-A,2020-08-26,7316,Mesa rustica,200.0, 575964k
1234-A,2021-08-20,8752,Mesa rustica,200.0, 575964k
1234-B,2020-12-26,9493,Mesa rustica,200.0, 575964k
1234-B,2020-12-26,9546,Mesa rustica,200.0, 575964k
1234-A,2020-12-26,9730,Mesa rustica,200.0, 575964k
1234-A,2020-08-26,9979,Mesa rustica,200.0, 575964k
2166-A,2021-09-02,7907,Mesa Redonda,150.0,15351-M
3395-A,2021-09-02,795,Mesa rustica,200.0,15351-M
4503-A,2021-09-06,8525,Mesa rustica,200.0,15351-M
5423-A,2021-09-02,8602,Mesa rustica,200.0,15351-M
